id,text
1507937677810683909,RT @ohmybeautybank: [bb] Biar pas lebaran kurusan dikit lah ya :( https://t.co/LwU9zSnMAh
1507937635049779203,ga kerasa tinggal 35 hari lagi lebaran
1507937626531123204,"Mudik lebaran boleh, di utamakan yang sudah vaksin 2 kali
Booster Mudik Lancar https://t.co/5LnF2kpIZn"
1507937614870982657,"Sudah vaksin booter dipersilahkan untuk melakukan mudik lebaran
Booster Mudik Lancar https://t.co/bJhWnfkO9m"
1507937610592763906,"RT @MuhadjirM: Tdk lama lagi Umat Islam akan melaksanakan rukunnya yg ketiga, ibadah Puasa Romadhon.

Terlepas dari ibadahnya, bagi teman bâ€¦"
1507937603836088325,RT @convomf: ğŸ’™ ga sabar ya bentar lagi mau lebaran ajaa
1507937528430874624,"Anjing kafir Kristen radikal Luhut Binsar Panjaitan,jgn coba coba mengobok obok agama Islam,giliran natal,tahun baru,Imlek tidak ada syarat vaksin knp menjelang ramadhan dan lebaran di harus kan vaksin booster !! https://t.co/1ix5szC6D8"
1507937495320653827,"@woilahvanda Nk rono ojo bar lebaran pokomen, mestie pol ramene, wkwkwkkwkwkw"
1507937441323237383,Txt kalau mau comeback habis lebaran aja yağŸ˜­ğŸ‘
1507937430371921920,"Puasa belom, ayah gua udah ngajak beli baju lebaranğŸ˜”ğŸ‘"
